table_name,column_name,field_name
table355,column66842,Whatsapp URL
table288,column66849,Utility Area
table288,column66850,Service Slab
table288,column66851,OTLA Area
table207,column66852,Utility Area
table207,column66853,Service Slab
table207,column66854,OTLA Area
table292,column66855,Utility Area
table292,column66856,Service Slab
table292,column66857,OTLA Area
table288,column66950,Construction Area
table288,column33002,Rate
table288,column66951,Construction Rate
table288,column66952,Construction Amount
table208,column63939,E Mail 1
table286,column66440,Booked Count
table286,column67187,Unit Code
table297,column10695,Category of S.Tax
table342,column3677,Date
table221,column11627,Terms Group Name
table345,column59548,Vendor Name
table345,column59549,Purchase Order No
table345,column59550,Purchase Order Amount
table345,column59551,Billing Amount
table345,column40788,Source Web URL
table345,column47233,Source Specific to Company & Branch
table345,column51992,UTM Campaign
table345,column51993,UTM Source
table345,column51994,UTM Medium
table345,column41494,Enquiry Source Code@EQ/y/s/m/s/4
table345,column18098,Till Date
table345,column47309,Campaign Name
table345,column51996,Linked With Channel Partner
table345,column9933,Total Cost
table345,column41146,Form Name For This Source
table345,column31226,Incoming Number For This Source
table345,column39041,Active Till Date
table345,column32516,Mobile No
table345,column32515,Source Address
table345,column15665,Source Date
table345,column32465,Project Name
table345,column31818,Name of Company
table345,column59547,Link with Bills
table358,column30257,Remarks
table152,column1355,Pass Port Expiry Date
table152,column1357,Visa Expiry Date
table207,column67617,Initial Bank Branch
table307,column67728,Salary Advance Ledger
table288,column55498,Actual Plot Area
table288,column67586,Undivided Share (%)
table288,column67587,AHU
table292,column67590,Master Community
table355,column67978,SMS URL
table290,column68011,Parking Area1
table372,column68016,not to use 2
table372,column68015,not to use
table290,column68012,not to use 3
table290,column68013,not to use 2
table290,column68014,not to use 1
table372,column68017,not to use 3
table372,column68018,not to use 1
table292,column68028,Maintenance Amount
table290,column68046,Length
table290,column68047,Breadth
table290,column68048,Vertical Clearance
table372,column68049,Length
table372,column68050,Breadth
table372,column68051,Vertical Clearance
table372,column68052,Parking Area
table207,column68116,Deposit Amount
table207,column68117,No Of EMI
table207,column68118,Frequency
table207,column68115,EMI Start Date
table280,column4416,Delivery Days
table25,column66632,States
table307,column67582,Working State
table294,column42516,Remark
table207,column68450,Car Parking Amount
table372,column68524,Upload File1
table207,column68549,Anti Money Laundering
table307,column68546,Business Unit
table307,column68545,Business Group
table207,column34449,PAN No Third Holder
table307,column68803,Contract Start Date
table307,column68804,Duration
table292,column68927,Terrace Area Sq. Mtr.
table292,column68928,Builtup Area Sq. Ft.
table292,column68929,Builtup Area Sq. Mtr.
table292,column68930,RERA Carpet Area Sq. Mtr.
table292,column68931,RERA Balcony Area Sq. Mtr.
table292,column68932,RERA Balcony Area Sq. Ft.
table292,column68933,Personal Foyer Area Sq. Ft.
table292,column68934,Personal Foyer Area Sq. Mtr.
table292,column68935,Semi Usable Space Sq. Ft.
table292,column68936,Semi Usable Space Sq. Mtr.
table292,column68937,Unit Number (AUDA)
table292,column68938,Block Number (AUDA)
table292,column68939,Floor (AUDA)
table280,column11531,Note
table289,column60414,Frequency
table289,column4345,SO
table289,column60415,No of Dues
table289,column60413,Installment Schedule Due
table289,column68679,Rental Guarantee
table289,column68680,Service Charges
table289,column68681,Type of Plan
table289,column68682,Expected Comption
table289,column68683,Project Status
table237,column63533,Secondary Basic Rate
table289,column68684,Buyback Option
table290,column69177,Width
table232,column8128,Interest Tax Amt
table307,column7122,Bank A/c No
table292,column70215,NOC Date
table307,column7106,Religion
table301,column2899,Particulars
table237,column36180,Secondary Qty
table287,column18330,Welcome Message
table221,column6622,Supp Location
table237,column70178,PR Line ID
table307,column70201,Employee Skill Status
table289,column30247,Remarks
table38,column70269,In Time (24 Hr Format)
table38,column70270,Out Time (24 Hr Format)
table38,column70277,Upload File
table207,column15726,Source Name
table221,column10139,Weighing Narration
table221,column6603,Unloading Narration
table329,column67986,Document type
table329,column40729,Import PO
table292,column70438,Cancellation Date
table292,column70439,Cancellation No
table207,column60707,Brokerage Amount Based On
table307,column2922,Mobile
table286,column2652,Source Name
table207,column4176,Brokerage
table297,column10005,Total Paid Amount
table286,column3621,Date and Location
table307,column43847,PAN Attachment
table307,column8369,Education Qualification
table307,column8370,Prof Qualification
table307,column8371,Tech Qualification
table307,column43848,Aadhar Card Attachment
table307,column30727,Remark
table307,column40744,Aadhar Card No
table286,column70919,Token Name
table286,column70920,Token Amount
table281,column36097,Item Code
table237,column36179,Secondary Unit
table237,column40032,Estimated Rate
table286,column63255,Site Visit Cancelled Date
table286,column71350,Site Visit Date
table286,column63252,Visit Attend By
table358,column6494,Particulars
table289,column21811,Total New Percentage Slab Wise
table287,column32752,Broucher Link
table288,column30065,Remarks
table38,column32546,Leave Days
table289,column4522,Total Percentage Date Wise
table345,column16558,File
table207,column21873,Attended By
table286,column17770,Area Sq.ft
table286,column64554,Area Sq.ft 1
table286,column64625,Min Possession
table286,column64626,Max Possession
table286,column64669,Time Zone
