table_name,column_name,data_type,character_maximum_length,is_nullable,field_name
table288,column65385,text,,YES,Car Parking Number
table290,column65386,double precision,,YES,Parking Amount
table329,id,bigint,,NO,id
table329,column3298,text,,YES,column3298
table329,column3299,text,,YES,column3299
table329,column3300,text,,YES,column3300
table329,column3679,text,,YES,column3679
table329,column3302,text,,YES,column3302
table329,column3303,text,,YES,column3303
table329,column3317,text,,YES,column3317
table329,column3306,text,,YES,column3306
table329,column3307,text,,YES,column3307
table329,column3308,text,,YES,column3308
table329,column3309,text,,YES,column3309
table329,column3310,text,,YES,column3310
table329,column3311,text,,YES,column3311
table329,column3312,text,,YES,column3312
table329,column3313,text,,YES,column3313
table329,column3314,text,,YES,column3314
table329,column4466,text,,YES,column4466
table329,column4467,text,,YES,column4467
table329,column4468,timestamp without time zone,,YES,column4468
table329,created_by,character varying,255,YES,created_by
table329,created_date,timestamp without time zone,,YES,created_date
table329,modified_by,character varying,255,YES,modified_by
table329,modified_date,timestamp without time zone,,YES,modified_date
table329,state,bigint,,YES,status
table329,column4484,text,,YES,Bill No@PB/Y/M/4
table329,column4485,timestamp without time zone,,YES,Bill Date
table329,column5262,text,,YES,Name of Company
table329,column4483,text,,YES,Supplier Name
table329,column5263,text,,YES,column5263
table329,column5264,text,,YES,Project Name
table329,column5265,text,,YES,Supplier Bill No1
table329,column6678,text,,YES,column6678
table329,column6715,timestamp without time zone,,YES,Supplier Bill Date1
table329,column6717,text,,YES,Installation Naration
table329,column6720,text,,YES,Unloading Naration
table329,column6723,text,,YES,Freight Naration
table329,column6866,text,,YES,Amount in Words
table329,column6867,text,,YES,Company Code
table329,column6996,text,,YES,Tax Status
table329,column7019,text,,YES,Contractor Name
table329,column7018,text,,YES,Work Order Type
table329,column7020,text,,YES,Work Order No Area
table329,column7021,text,,YES,Work Order No Perc
table329,column7022,text,,YES,Sub Project
table329,column7701,text,,YES,Narration
table329,column8260,text,,YES,Name of Bill1
table329,column8461,timestamp without time zone,,YES,From Date
table329,column8462,timestamp without time zone,,YES,To Date
table329,column10152,text,,YES,Deduction Details
table329,column11426,text,,YES,Terms and Conditions
table329,column11548,text,,YES,From Challans
table329,column15330,text,,YES,Debit or Credit Narration
table329,column18501,text,,YES,From POs
table329,column18607,timestamp without time zone,,YES,Bill Received Date
table329,column18884,text,,YES,Bill No of Supplier
table329,column18885,timestamp without time zone,,YES,Bill Date of Supplier
table329,column19168,timestamp without time zone,,YES,Bill Due Date
table329,column20333,text,,YES,Transportation Service Tax Included In Bill
table329,column20556,text,,YES,Cess Tax Included In Bill
table329,column30383,text,,YES,Expense Ledger
table329,column34680,text,,YES,Module Name
table329,column35792,text,,YES,TDS deduction on Transportation
table329,column35795,text,,YES,TDS Category
table329,column35855,text,,YES,TDS Party Name
table329,column37816,text,,YES,Mobile No
table329,column37817,text,,YES,Email
table329,column41042,text,,YES,HSN Code1
table329,column41043,text,,YES,Tax Code1
table329,column40729,text,,YES,Import PO
table329,column40730,text,,YES,Currency
table329,column41687,text,,YES,Location Project Name
table329,column44718,text,,YES,Search GRN
table329,column44797,text,,YES,Last Bill
table329,column47485,text,,YES,Remarks
table329,column48652,text,,YES,GST No.
table329,column48653,text,,YES,Location
table329,column50149,text,,YES,Nature of Creditor
table329,column56861,text,,YES,Main Ledger Name
table329,column57769,text,,YES,194Q Category
table329,column3316,double precision,,YES,column3316
table329,column4524,double precision,,YES,column4524
table329,stateownerid,bigint,,YES,stateownerid
table329,column4487,double precision,,YES,column4487
table329,column6713,double precision,,YES,Approved Amt-PB
table329,column6718,double precision,,YES,Lumpsum Other Chgs
table329,column6721,double precision,,YES,Lumpsum Loading/Unloading Chgs
table329,column6724,double precision,,YES,Lumpsum Freight Chgs
table329,column6727,double precision,,YES,Net Amt
table329,column6777,double precision,,YES,Total Adjusted Amt
table329,column6875,double precision,,YES,Total Amount-PB
table329,column7055,double precision,,YES,PService Tax
table329,column7056,double precision,,YES,Tax Amount1
table329,column7057,double precision,,YES,Total Amt1
table329,column7058,double precision,,YES,Vat Rate1
table329,column7059,double precision,,YES,Tax Amount2
table329,column7060,double precision,,YES,Total Amt2
table329,column7061,double precision,,YES,Vat Rate2
table329,column7062,double precision,,YES,Tax Amount3
table329,column7063,double precision,,YES,Total Amt3
table329,column7071,double precision,,YES,SVat Rate1
table329,column7072,double precision,,YES,SVat Rate2
table329,column7087,double precision,,YES,Lump-sum Discount Amount
table329,column8137,double precision,,YES,Total Amount-PO
table329,column8979,double precision,,YES,Payment Given
table329,column8980,double precision,,YES,Balance Pur Bill Amt
table329,column9053,double precision,,YES,VR1
table329,column9057,double precision,,YES,VR2
table329,column9061,double precision,,YES,VR3
table329,column9065,double precision,,YES,VR4
table329,column10066,double precision,,YES,Total Cheque Payments
